"Date","Price","Open","High","Low","Change %"
"01/23/2023","2.996","2.996","2.996","2.996","-0.55%"
"01/20/2023","3.013","3.013","3.013","3.013","0.53%"
"01/19/2023","2.997","2.997","2.997","2.997","-1.53%"
"01/18/2023","3.043","3.043","3.043","3.043","0.51%"
"01/17/2023","3.027","3.027","3.027","3.027","0.51%"
"01/16/2023","3.012","3.012","3.012","3.012","-0.46%"
"01/13/2023","3.026","3.026","3.026","3.026","0.48%"
"01/12/2023","3.011","3.011","3.011","3.011","0.00%"
"01/11/2023","3.011","3.011","3.011","3.011","-0.89%"
"01/10/2023","3.039","3.039","3.039","3.039","0.45%"
"01/09/2023","3.025","3.132","3.132","3.025","-3.66%"
"01/06/2023","3.140","3.140","3.140","3.140","-1.13%"
"01/05/2023","3.176","3.011","3.176","3.011","5.48%"
"01/04/2023","3.011","2.961","3.011","2.961","0.42%"
"01/03/2023","2.999","3.049","3.049","2.999","-1.22%"
"01/02/2023","3.036","3.036","3.036","3.036","-0.34%"
"12/30/2022","3.046","3.093","3.093","3.046","-1.12%"
"12/29/2022","3.080","2.941","3.080","2.941","5.12%"
"12/28/2022","2.931","3.011","3.022","2.931","-2.67%"
"12/27/2022","3.011","3.011","3.011","3.011","-2.53%"
"12/26/2022","3.089","3.089","3.089","3.089","2.22%"
"12/24/2022","3.022","3.032","3.449","3.022","-0.33%"
"12/23/2022","3.032","3.054","3.054","2.321","-0.36%"
"12/22/2022","3.043","3.086","3.086","3.043","-1.02%"
"12/21/2022","3.075","2.863","3.075","2.863","7.73%"
"12/20/2022","2.854","2.313","2.854","2.313","23.55%"
"12/19/2022","2.310","2.310","2.310","2.310","-0.54%"
"12/16/2022","2.322","2.322","2.322","2.322","0.11%"
"12/15/2022","2.320","2.320","2.320","2.320","0.11%"
"12/14/2022","2.318","2.318","2.318","2.318","0.13%"
"12/13/2022","2.315","2.315","2.315","2.315","0.11%"
"12/12/2022","2.312","2.312","2.312","2.312","0.28%"
"12/09/2022","2.306","2.306","2.306","2.306","0.11%"
"12/08/2022","2.303","2.303","2.303","2.303","0.11%"
"12/07/2022","2.300","2.300","2.300","2.300","0.11%"
"12/06/2022","2.298","2.298","2.298","2.298","0.11%"
"12/05/2022","2.296","2.296","2.296","2.296","0.33%"
"12/02/2022","2.288","2.288","2.288","2.288","0.11%"
"12/01/2022","2.286","2.286","2.286","2.286","0.11%"
"11/30/2022","2.283","2.283","2.283","2.283","-1.36%"
"11/29/2022","2.315","2.315","2.315","2.315","0.11%"
"11/28/2022","2.312","2.312","2.312","2.312","0.33%"
"11/25/2022","2.305","2.305","2.305","2.305","0.11%"
"11/24/2022","2.302","2.302","2.302","2.302","0.09%"
"11/23/2022","2.300","2.300","2.300","2.300","0.11%"
"11/22/2022","2.297","2.297","2.297","2.297","0.11%"
"11/21/2022","2.295","2.295","2.295","2.295","0.00%"
"11/18/2022","2.295","2.295","2.295","2.295","-0.93%"
"11/17/2022","2.316","2.316","2.316","2.316","0.11%"
"11/16/2022","2.314","2.314","2.314","2.314","0.09%"
"11/15/2022","2.312","2.312","2.312","2.312","0.11%"
"11/14/2022","2.309","2.309","2.309","2.309","0.26%"
"11/11/2022","2.303","2.303","2.303","2.303","0.11%"
"11/10/2022","2.301","2.301","2.301","2.301","0.70%"
"11/09/2022","2.285","2.285","2.285","2.285","0.09%"
"11/08/2022","2.283","2.283","2.283","2.283","0.09%"
"11/07/2022","2.281","2.337","2.337","2.281","-3.24%"
"11/04/2022","2.358","2.358","2.358","2.358","2.34%"
"11/03/2022","2.303","2.303","2.303","2.303","0.46%"
"11/02/2022","2.293","2.293","2.293","2.293","0.42%"
"11/01/2022","2.283","2.283","2.283","2.283","-1.66%"
"10/31/2022","2.322","2.370","2.370","2.322","-0.73%"
"10/28/2022","2.339","2.339","2.339","2.339","-1.50%"
"10/27/2022","2.375","2.375","2.375","2.375","0.40%"
"10/26/2022","2.365","2.275","2.365","2.275","4.37%"
"10/25/2022","2.266","2.200","2.266","2.200","3.40%"
"10/24/2022","2.191","2.191","2.191","2.191","-0.93%"
"10/21/2022","2.212","2.212","2.212","2.212","0.34%"
"10/20/2022","2.204","2.204","2.204","2.204","0.34%"
"10/19/2022","2.197","2.197","2.197","2.197","0.32%"
"10/18/2022","2.190","2.190","2.190","2.190","0.32%"
"10/17/2022","2.183","2.183","2.183","2.183","-0.86%"
"10/14/2022","2.202","2.202","2.202","2.202","0.32%"
"10/13/2022","2.195","2.195","2.195","2.195","0.32%"
"10/12/2022","2.188","2.188","2.188","2.188","-1.44%"
"10/11/2022","2.220","2.220","2.220","2.220","0.32%"
"10/10/2022","2.213","2.213","2.213","2.213","1.75%"
"10/07/2022","2.175","2.175","2.175","2.175","-1.36%"
"10/06/2022","2.205","2.133","2.205","2.133","3.67%"
"10/05/2022","2.127","2.127","2.127","2.127","0.24%"
"10/04/2022","2.122","2.086","2.139","2.086","1.97%"
"10/03/2022","2.081","1.941","2.081","1.941","5.96%"
"09/30/2022","1.964","1.964","1.964","1.964","0.18%"
"09/29/2022","1.961","2.028","2.028","1.961","-3.11%"
"09/28/2022","2.023","1.923","2.023","1.923","5.39%"
"09/27/2022","1.920","1.887","1.920","1.887","1.91%"
"09/26/2022","1.884","1.884","1.884","1.884","0.45%"
"09/23/2022","1.875","1.875","1.875","1.875","-1.50%"
"09/22/2022","1.904","1.904","1.904","1.904","0.98%"
"09/21/2022","1.885","1.885","1.885","1.885","0.13%"
"09/20/2022","1.883","1.803","1.883","1.803","4.44%"
"09/19/2022","1.803","1.803","1.803","1.803","-0.11%"
"09/16/2022","1.805","1.805","1.805","1.805","-0.03%"
"09/15/2022","1.806","1.806","1.806","1.806","0.00%"
"09/14/2022","1.806","1.806","1.806","1.806","0.00%"
"09/13/2022","1.806","1.806","1.806","1.806","-0.03%"
